Item [SCREEN_NAME:Blue Ball, FILE_LOCATION:\Images\Ball Sprites\blue_ball.png, TYPE:ball_sprite, PRICE:100]
Item [SCREEN_NAME:Brown Ball, FILE_LOCATION:\Images\Ball Sprites\brown_ball.png, TYPE:ball_sprite, PRICE:100]
Item [SCREEN_NAME:Frost Ball, FILE_LOCATION:\Images\Ball Sprites\frost_ball.png, TYPE:ball_sprite, PRICE:100]
Item [SCREEN_NAME:Gray Ball, FILE_LOCATION:\Images\Ball Sprites\gray_ball.png, TYPE:ball_sprite, PRICE:100]
Item [SCREEN_NAME:Green Ball, FILE_LOCATION:\Images\Ball Sprites\green_ball.png, TYPE:ball_sprite, PRICE:100]
Item [SCREEN_NAME:Mint Ball, FILE_LOCATION:\Images\Ball Sprites\mint_ball.png, TYPE:ball_sprite, PRICE:100]
Item [SCREEN_NAME:Pink Ball, FILE_LOCATION:\Images\Ball Sprites\pink_ball.png, TYPE:ball_sprite, PRICE:100]
Item [SCREEN_NAME:Purple Ball, FILE_LOCATION:\Images\Ball Sprites\purple_ball.png, TYPE:ball_sprite, PRICE:100]
Item [SCREEN_NAME:Red Ball, FILE_LOCATION:\Images\Ball Sprites\red_ball.png, TYPE:ball_sprite, PRICE:100]
Item [SCREEN_NAME:Salmon Ball, FILE_LOCATION:\Images\Ball Sprites\salmon_ball.png, TYPE:ball_sprite, PRICE:100]
Item [SCREEN_NAME:Teal Ball, FILE_LOCATION:\Images\Ball Sprites\teal_ball.png, TYPE:ball_sprite, PRICE:100]
Item [SCREEN_NAME:Yellow Ball, FILE_LOCATION:\Images\Ball Sprites\yellow_ball.png, TYPE:ball_sprite, PRICE:100]
